epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7431,1.23703,2.62567,1.66769,0.88984,0.02165,0.2666,0.108,1.56672,3.70044,2.22444,0.00053344,0.00053344,0.00053344
2,24.5173,1.30369,2.15463,1.74251,0.64855,0.27489,0.30677,0.13079,2.10799,3.73344,3.22223,0.0010621,0.0010621,0.0010621
3,36.0921,1.4735,2.1986,1.82791,0.21176,0.41671,0.19928,0.09087,2.04015,3.83611,3.14818,0.00156897,0.00156897,0.00156897
4,46.2408,1.45155,2.12265,1.82201,0.55977,0.32784,0.35605,0.15209,1.9747,3.534,2.76572,0.00156798,0.00156798,0.00156798
5,58.1404,1.47364,2.0528,1.83318,0.43451,0.49058,0.48996,0.23626,1.6952,2.82105,2.48525,0.00153497,0.00153497,0.00153497
6,70.6366,1.43367,1.96854,1.79405,0.35449,0.31135,0.29861,0.15302,2.75489,3.86237,3.33812,0.00150197,0.00150197,0.00150197
7,82.0058,1.3682,1.84668,1.76388,0.58257,0.49353,0.49447,0.235,2.06956,2.43638,2.74069,0.00146896,0.00146896,0.00146896
8,92.6317,1.36866,1.82664,1.78632,0.46554,0.51225,0.48556,0.27904,2.02737,2.72327,2.75119,0.00143595,0.00143595,0.00143595
9,102.889,1.36874,1.79349,1.75415,0.40785,0.61922,0.53655,0.24874,1.93144,2.11073,2.58271,0.00140295,0.00140295,0.00140295
10,114.763,1.31125,1.70022,1.70484,0.46441,0.61729,0.53071,0.31753,1.71467,2.15831,2.30931,0.00136994,0.00136994,0.00136994
11,127.673,1.3666,1.70005,1.75466,0.4648,0.56044,0.48839,0.2683,1.88348,2.5631,2.58506,0.00133693,0.00133693,0.00133693
12,139.595,1.33996,1.69419,1.74127,0.3688,0.37001,0.383,0.21305,1.98393,2.77241,2.57834,0.00130393,0.00130393,0.00130393
13,149.32,1.27301,1.63452,1.66998,0.56383,0.55897,0.58071,0.3489,1.54646,1.93799,2.11533,0.00127092,0.00127092,0.00127092
14,161.436,1.2754,1.58623,1.68147,0.52294,0.55961,0.62141,0.34034,1.74681,2.04935,2.27758,0.00123791,0.00123791,0.00123791
15,172.407,1.19741,1.52887,1.62432,0.80062,0.72067,0.79237,0.46272,1.49542,1.6449,2.06182,0.00120491,0.00120491,0.00120491
16,184.436,1.22494,1.45935,1.65508,0.82733,0.75184,0.78905,0.44842,1.72503,1.55271,2.25981,0.0011719,0.0011719,0.0011719
17,194.262,1.19527,1.4092,1.60026,0.60583,0.60114,0.62805,0.34836,1.64594,1.90464,2.1698,0.00113889,0.00113889,0.00113889
18,205.553,1.17529,1.41932,1.59796,0.62984,0.7435,0.69263,0.4143,1.58537,1.72179,2.13229,0.00110589,0.00110589,0.00110589
